total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
340251,1376,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
341753,1502,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
343189,1436,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
344839,1650,53.24,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
346476,1637,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
348184,1708,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
349992,1808,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
352296,2304,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
354461,2165,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
356904,2443,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
359032,2128,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
361082,2050,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
363380,2298,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
365927,2547,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
368665,2738,47.69,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
371508,2843,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
374173,2665,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
376929,2756,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
379883,2954,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
382892,3009,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
386198,3306,58.8,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
389311,3113,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
392356,3045,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
395185,2829,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
398024,2839,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
400482,2458,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
403311,2829,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
406810,3499,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
410072,3262,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
413191,3119,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
416499,3308,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
420294,3795,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
423179,2885,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
426142,2963,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
429280,3138,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
432327,3047,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
435056,2729,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
438425,3369,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
440787,2362,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
443246,2459,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
445977,2731,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
448522,2545,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
451494,2972,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
454673,3179,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
457288,2615,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
458968,1680,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
460672,1704,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
462814,2142,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
465070,2256,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
467222,2152,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
469482,2260,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
471335,1853,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
473309,1974,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
475085,1776,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
477240,2155,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
479715,2475,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
482178,2463,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
484362,2184,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
486634,2272,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
