total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
24073,2024,1221.143,564,50,31.571,108.981,9.163,5.528,2.553,0.226,0.143,1.37,,,,,,,,,9893,222404,1.007,0.045,9312,0.042,0.131,7.6,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
24644,571,1118.143,585,21,28.571,111.566,2.585,5.062,2.648,0.095,0.129,1.35,,,,,,,,,10178,232582,1.053,0.046,9524,0.043,0.117,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
26435,1791,1188.714,599,14,26,119.674,8.108,5.381,2.712,0.063,0.118,1.35,,,,,,,,,12196,244778,1.108,0.055,10088,0.046,0.118,8.5,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
28736,2301,1376.143,636,37,28,130.091,10.417,6.23,2.879,0.168,0.127,1.35,,,,,,,,,12469,257247,1.165,0.056,10731,0.049,0.128,7.8,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
30334,1598,1464.286,659,23,28.857,137.325,7.234,6.629,2.983,0.104,0.131,1.33,,,,,,,,,12778,270025,1.222,0.058,10881,0.049,0.135,7.4,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
32081,1747,1591.429,706,47,32.857,145.234,7.909,7.205,3.196,0.213,0.149,1.3,,,,,,,,,13492,283517,1.284,0.061,11499,0.052,0.138,7.2,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
34336,2255,1755.286,737,31,31.857,155.442,10.209,7.946,3.336,0.14,0.144,1.28,,,,,,,,,11377,294894,1.335,0.052,11769,0.053,0.149,6.7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
35298,962,1603.571,761,24,28.143,159.797,4.355,7.26,3.445,0.109,0.127,1.26,,,,,,,,,10957,305851,1.385,0.05,11921,0.054,0.135,7.4,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
35788,490,1592,770,9,26.429,162.016,2.218,7.207,3.486,0.041,0.12,1.24,,,,,,,,,11848,317699,1.438,0.054,12160,0.055,0.131,7.6,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
38799,3011,1766.286,834,64,33.571,175.647,13.631,7.996,3.776,0.29,0.152,1.25,,,,,,,,,13051,330750,1.497,0.059,12282,0.056,0.144,7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
38799,0,1437.571,834,0,28.286,175.647,0,6.508,3.776,0,0.128,1.23,,,,,,,,,13700,344450,1.559,0.062,12458,0.056,0.115,8.7,,,,,,,,,,89.81,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
40151,1352,1402.429,873,39,30.571,181.767,6.121,6.349,3.952,0.177,0.138,1.23,,,,,,,,,14814,359264,1.626,0.067,12748,0.058,0.11,9.1,,,,,,,,,,78.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
42125,1974,1434.857,903,30,28.143,190.704,8.936,6.496,4.088,0.136,0.127,1.24,,,,,,,,,14146,373410,1.69,0.064,12842,0.058,0.112,9,,,,,,,,,,85.19,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
